ID;RegioS;Perioden;BevolkingAanHetBeginVanDePeriode_1;LevendGeborenKinderen_2;Overledenen_3;TotaleVestiging_4;VestigingVanuitEenAndereGemeente_5;Immigratie_6;TotaalVertrekInclAdmCorrecties_7;VertrekNaarAndereGemeente_8;EmigratieInclusiefAdmCorrecties_9;OverigeCorrecties_10;Bevolkingsgroei_11;BevolkingsgroeiRelatief_12;BevolkingsgroeiSinds1Januari_13;BevolkingsgroeiSinds1JanuariRela_14;BevolkingAanHetEindeVanDePeriode_15
114845;GM0344;2002MM01;260625;293;225;1748;1431;317;1540;1303;237;;276;    0.11;276;    0.11;260901
114846;GM0344;2002MM02;260901;282;182;1311;1119;192;1383;1209;174;;28;    0.01;304;    0.12;260929
114847;GM0344;2002MM03;260929;338;208;1572;1330;242;1358;1197;161;;344;    0.13;648;    0.25;261273
114848;GM0344;2002MM04;261273;324;159;1384;1153;231;1281;1082;199;;268;    0.10;916;    0.35;261541
114849;GM0344;2002MM05;261541;345;179;1338;1171;167;1164;1094;70;;340;    0.13;1256;    0.48;261881
114850;GM0344;2002MM06;261881;322;176;1211;1046;165;1232;1061;171;;125;    0.05;1381;    0.53;262006
114851;GM0344;2002MM07;262006;360;163;1523;1325;198;1803;1385;418;;-83;   -0.03;1298;    0.50;261923
114852;GM0344;2002MM08;261923;341;161;2074;1762;312;1531;1407;124;;723;    0.28;2021;    0.78;262646
114853;GM0344;2002MM09;262646;349;140;2577;1898;679;1472;1239;233;;1314;    0.50;3335;    1.28;263960
114854;GM0344;2002MM10;263960;355;175;1715;1508;207;1451;1257;194;;444;    0.17;3779;    1.45;264404
114855;GM0344;2002MM11;264404;329;136;1566;1394;172;1367;1167;200;;392;    0.15;4171;    1.60;264796
114856;GM0344;2002MM12;264796;366;202;1461;1282;179;1437;1210;227;167;355;    0.13;4526;    1.74;265151
114857;GM0344;2002JJ00;260625;4004;2106;19480;16419;3061;17019;14611;2408;167;4526;    1.74;4526;    1.74;265151
114858;GM0344;2003MM01;265151;346;165;1642;1448;194;1413;1250;163;;410;    0.15;410;    0.15;265561
114859;GM0344;2003MM02;265561;369;162;1450;1171;279;1166;988;178;;491;    0.18;901;    0.34;266052
114860;GM0344;2003MM03;266052;336;175;1410;1224;186;1247;996;251;;324;    0.12;1225;    0.46;266376
114861;GM0344;2003MM04;266376;350;171;1424;1279;145;1173;911;262;;430;    0.16;1655;    0.62;266806
114862;GM0344;2003MM05;266806;372;166;1279;1112;167;1117;991;126;;368;    0.14;2023;    0.76;267174
114863;GM0344;2003MM06;267174;315;137;1383;1232;151;1200;1039;161;;361;    0.14;2384;    0.90;267535
114864;GM0344;2003MM07;267535;418;207;1531;1338;193;1542;1312;230;;200;    0.07;2584;    0.97;267735
114865;GM0344;2003MM08;267735;391;194;2017;1749;268;1457;1251;206;;757;    0.28;3341;    1.26;268492
114866;GM0344;2003MM09;268492;351;174;2461;1803;658;1708;1298;410;;930;    0.35;4271;    1.61;269422
114867;GM0344;2003MM10;269422;376;157;1677;1471;206;1554;1285;269;;342;    0.13;4613;    1.74;269764
114868;GM0344;2003MM11;269764;339;171;1430;1273;157;1421;1109;312;;177;    0.07;4790;    1.81;269941
114869;GM0344;2003MM12;269941;340;202;1443;1296;147;1348;1254;94;70;303;    0.11;5093;    1.92;270244
114870;GM0344;2003JJ00;265151;4303;2081;19147;16396;2751;16346;13684;2662;70;5093;    1.92;5093;    1.92;270244
114871;GM0344;2004MM01;270244;336;205;1525;1354;171;1382;1222;160;;274;    0.10;274;    0.10;270518
114872;GM0344;2004MM02;270518;343;137;1604;1335;269;1327;1056;271;;483;    0.18;757;    0.28;271001
114873;GM0344;2004MM03;271001;343;175;1614;1430;184;1614;1182;432;;168;    0.06;925;    0.34;271169
114874;GM0344;2004MM04;271169;351;160;1323;1223;100;1354;1104;250;;160;    0.06;1085;    0.40;271329
114875;GM0344;2004MM05;271329;339;185;1213;1087;126;1291;1052;239;;76;    0.03;1161;    0.43;271405
114876;GM0344;2004MM06;271405;390;168;1496;1330;166;1469;1179;290;;249;    0.09;1410;    0.52;271654
